rank,atom_id,classification,dispatchable_atom,pair_index,tile_id,source_action_id,action_id,transform,mean_weighted_combined_equal_share,mean_weighted_pose_equal_share,mean_weighted_seg_equal_share,component_positive_votes,pose_toxic_votes,pose_positive_votes,seg_positive_votes,worst_pose_delta_vs_c091
37,pair395_tile088_src090_act090_identity,component_positive_pose_safe,True,395,88,90,90,identity,1.7530398200974941e-06,5.7620430032510693e-08,1.6954193900649837e-06,2,0,2,2,0.0
38,pair536_tile088_src054_act054_identity,component_positive_pose_safe,True,536,88,54,54,identity,1.499146967809525e-06,1.499146967809525e-06,0.0,2,0,2,0,0.0
39,pair520_tile088_src026_act026_identity,component_positive_pose_safe,True,520,88,26,26,identity,1.448458046979632e-06,1.448458046979632e-06,0.0,2,0,2,0,0.0
40,pair170_tile086_src092_act092_identity,component_positive_pose_safe,True,170,86,92,92,identity,1.341891526893711e-06,1.341891526893711e-06,0.0,2,0,2,0,0.0
41,pair516_tile089_src064_act064_identity,component_positive_pose_safe,True,516,89,64,64,identity,1.3312468502745365e-06,1.3312468502745365e-06,0.0,2,0,2,0,0.0
42,pair440_tile089_src061_act061_identity,component_positive_pose_safe,True,440,89,61,61,identity,1.2779608691619278e-06,1.2779608691619278e-06,0.0,2,0,2,0,0.0
43,pair174_tile086_src095_act095_identity,component_positive_pose_safe,True,174,86,95,95,identity,1.2503806383743502e-06,7.225568639842842e-07,5.27823774390066e-07,8,0,8,6,0.0
44,pair459_tile087_src067_act067_identity,component_positive_pose_safe,True,459,87,67,67,identity,1.2492543774358857e-06,4.015471077226031e-07,8.477072697132826e-07,4,0,4,4,0.0
45,pair200_tile111_src036_act036_amp_shift_-1,component_positive_pose_safe,True,200,111,36,36,amp_shift_-1,1.1937980515739895e-06,3.46081080583897e-07,8.477169709900925e-07,1,0,1,1,0.0
46,pair191_tile087_src091_act091_identity,component_positive_pose_safe,True,191,87,91,91,identity,1.0517746141928606e-06,1.0517746141928606e-06,0.0,5,0,5,0,0.0
47,pair168_tile086_src089_act089_identity,component_positive_pose_safe,True,168,86,89,89,identity,1.0100963574786965e-06,1.0100963574786965e-06,0.0,2,0,2,0,0.0
48,pair268_tile088_src038_act038_identity,component_positive_pose_safe,True,268,88,38,38,identity,9.619182979069877e-07,1.1421102819370488e-07,8.477072697132827e-07,5,0,5,5,0.0
49,pair112_tile085_src075_act075_identity,component_positive_pose_safe,True,112,85,75,75,identity,8.875189773342181e-07,8.875189773342181e-07,0.0,2,0,2,0,0.0
50,pair416_tile088_src077_act077_identity,component_positive_pose_safe,True,416,88,77,77,identity,8.684613452662411e-07,2.0744374276148726e-08,8.477169709900925e-07,2,0,2,2,0.0
51,pair166_tile086_src006_act006_identity,component_positive_pose_safe,True,166,86,6,6,identity,8.495887815699497e-07,8.495887815699497e-07,0.0,6,0,6,0,0.0
52,pair451_tile100_src009_act009_identity,component_positive_pose_safe,True,451,100,9,9,identity,7.846739109195795e-07,1.632381180632862e-06,-8.477072697132827e-07,5,0,5,0,0.0
53,pair054_tile088_src075_act075_identity,component_positive_pose_safe,True,54,88,75,75,identity,7.730790070941045e-07,7.730790070941045e-07,0.0,2,0,2,0,0.0
54,pair178_tile095_src101_act101_identity,component_positive_pose_safe,True,178,95,101,101,identity,7.293441748575604e-07,7.293441748575604e-07,0.0,8,0,8,0,0.0
