pair,ep854_delivered_d_pose,pu2_live_d_pose,map_d_pose,map_pose_delta_vs_pu2_live,map_flips_vs_gt,map_flips_vs_live,sub_final_repaired,sub_final_d_pose_after_repair,sub_map_repair_repaired,sub_map_repair_d_pose_after_repair,ep854_k4_best_d_pose,ep854_k4_ratio_vs_bar,ep854_k4_envelope_status,ep854_best_k6_d_pose,ep854_best_k6_source,ep854_best_k8_d_pose,ep854_best_k8_source
106,0.11361861974000931,0.0036965070758014917,0.0062009128741919994,0.0025044057983905077,1020,480,True,0.0014949551550671458,False,0.0062009128741919994,,,k4_envelope_not_measured_for_pair,,,,
107,1.3259042501449585,0.0012929423246532679,0.0014750122791156173,0.00018206995446234941,974,619,False,0.0012929423246532679,False,0.0014750122791156173,,,k4_envelope_not_measured_for_pair,,,,
108,1.3788999319076538,0.002914079697802663,0.011801525019109249,0.008887445321306586,1052,522,False,0.002914079697802663,False,0.011801525019109249,,,k4_envelope_not_measured_for_pair,,,,
109,4.447290897369385,0.00039229626418091357,0.15213745832443237,0.15174516206025146,939,434,False,0.00039229626418091357,False,0.15213745832443237,,,k4_envelope_not_measured_for_pair,,,,
110,0.9216461181640625,0.0010613292688503861,0.004025847651064396,0.0029645183822140098,895,405,False,0.0010613292688503861,False,0.004025847651064396,,,k4_envelope_not_measured_for_pair,,,,
111,4.431351184844971,0.0010656554950401187,0.07174933701753616,0.07068368152249604,950,496,False,0.0010656554950401187,False,0.07174933701753616,,,k4_envelope_not_measured_for_pair,,,,
112,2.334851026535034,0.0017715349094942212,0.019746817648410797,0.017975282738916576,1091,490,False,0.0017715349094942212,False,0.019746817648410797,,,k4_envelope_not_measured_for_pair,,,,
113,1.282913088798523,0.0016935014864429832,0.06623778492212296,0.06454428343567997,916,313,False,0.0016935014864429832,False,0.06623778492212296,,,k4_envelope_not_measured_for_pair,,,,
114,5.880039215087891,0.0009018214768730104,0.028222838416695595,0.027321016939822584,872,410,False,0.0009018214768730104,False,0.028222838416695595,,,k4_envelope_not_measured_for_pair,,,,
115,3.583674430847168,0.0006826155004091561,0.006542341783642769,0.005859726283233613,1004,557,False,0.0006826155004091561,False,0.006542341783642769,,,k4_envelope_not_measured_for_pair,,,,
116,0.7233418822288513,0.0013366728089749813,0.0673481673002243,0.06601149449124932,845,330,False,0.0013366728089749813,False,0.0673481673002243,,,k4_envelope_not_measured_for_pair,,,,
117,2.3526012897491455,0.001358258887194097,0.07987485080957413,0.07851659192238003,1195,583,False,0.001358258887194097,False,0.07987485080957413,,,k4_envelope_not_measured_for_pair,,,,
118,26.73554801940918,0.0006355912773869932,0.0045077865943312645,0.0038721953169442713,942,540,False,0.0006355912773869932,False,0.0045077865943312645,,,k4_envelope_not_measured_for_pair,,,,
119,0.2898848354816437,0.002261098939925432,0.012354068458080292,0.01009296951815486,905,491,False,0.002261098939925432,False,0.012354068458080292,,,k4_envelope_not_measured_for_pair,,,,
120,0.7894611954689026,0.0024271600414067507,0.02684374898672104,0.024416588945314288,1020,502,False,0.0024271600414067507,False,0.02684374898672104,,,k4_envelope_not_measured_for_pair,,,,
121,1.1872113943099976,0.00155635888222605,0.004874373320490122,0.003318014438264072,873,463,False,0.00155635888222605,False,0.004874373320490122,,,k4_envelope_not_measured_for_pair,,,,
122,7.407105922698975,0.0023097225930541754,0.01862768642604351,0.016317963832989335,902,430,False,0.0023097225930541754,False,0.01862768642604351,,,k4_envelope_not_measured_for_pair,,,,
123,4.460729598999023,0.0007074939203448594,0.029643535614013672,0.028936041693668813,779,420,False,0.0007074939203448594,False,0.029643535614013672,,,k4_envelope_not_measured_for_pair,,,,
124,2.1186773777008057,0.001252665533684194,0.0013970712898299098,0.0001444057561457157,979,503,False,0.001252665533684194,False,0.0013970712898299098,,,k4_envelope_not_measured_for_pair,,,,
125,6.215077877044678,0.0017606649780645967,0.06987714022397995,0.06811647524591535,832,357,False,0.0017606649780645967,False,0.06987714022397995,,,k4_envelope_not_measured_for_pair,0.0040640332736074924,ext_a,,
126,6.42125940322876,0.0013628783635795116,0.0678195133805275,0.06645663501694798,1052,441,False,0.0013628783635795116,False,0.0678195133805275,,,k4_envelope_not_measured_for_pair,,,,
127,88.0167465209961,0.0008617336279712617,0.01216388400644064,0.011302150378469378,818,397,False,0.0008617336279712617,False,0.01216388400644064,,,k4_envelope_not_measured_for_pair,,,,
128,20.88051414489746,0.0020717892330139875,0.5842639803886414,0.5821921911556274,987,519,False,0.0020717892330139875,False,0.5842639803886414,,,k4_envelope_not_measured_for_pair,,,,
129,35.698116302490234,0.0027426965534687042,0.0040933252312242985,0.0013506286777555943,962,536,True,0.0010860486654564738,False,0.0040933252312242985,,,k4_envelope_not_measured_for_pair,,,,
130,1.3391271829605103,0.0016902416246011853,0.002346556866541505,0.0006563152419403195,802,420,False,0.0016902416246011853,False,0.002346556866541505,,,k4_envelope_not_measured_for_pair,,,,
131,0.08933708816766739,0.0009072544635273516,0.0038600557018071413,0.0029528012382797897,834,321,False,0.0009072544635273516,False,0.0038600557018071413,,,k4_envelope_not_measured_for_pair,,,,
132,0.7864959239959717,0.0007309074862860143,0.0009871680522337556,0.00025626056594774127,872,347,False,0.0007309074862860143,False,0.0009871680522337556,,,k4_envelope_not_measured_for_pair,,,,
133,153.99476623535156,0.0015437976690009236,0.003534208284690976,0.0019904106156900525,1407,705,False,0.0015437976690009236,False,0.003534208284690976,,,k4_envelope_not_measured_for_pair,,,,
134,152.56871032714844,0.002188499318435788,0.02249331586062908,0.020304816542193294,1144,669,False,0.002188499318435788,False,0.02249331586062908,,,k4_envelope_not_measured_for_pair,,,,
135,14.86253833770752,0.0006057001301087439,0.04014968499541283,0.03954398486530408,1087,565,False,0.0006057001301087439,False,0.04014968499541283,,,k4_envelope_not_measured_for_pair,,,,
136,0.11930831521749496,0.001283087651245296,0.0023032082244753838,0.0010201205732300878,1016,457,False,0.001283087651245296,False,0.0023032082244753838,,,k4_envelope_not_measured_for_pair,,,,
137,0.31244874000549316,0.0006692125461995602,0.03532322868704796,0.0346540161408484,1231,609,False,0.0006692125461995602,False,0.03532322868704796,,,k4_envelope_not_measured_for_pair,,,,
138,150.23585510253906,0.002450767904520035,0.17088820040225983,0.1684374324977398,1308,518,False,0.002450767904520035,False,0.17088820040225983,,,k4_envelope_not_measured_for_pair,,,,
